Id,Divorce Date,Divorce Type,Nationality Female,DOB Female,Age Female,Occupation Female,Income Female,Marriage Date,Education Female,Employment Female,Marriage Year,Number Children,Zodiac_Sign
393,9/11/01,Voluntary,American,2066/05/15,35.0,Psychologist,5000.0,22/12/87,Professional,Employer,13.0,3.0,Taurus
394,9/12/09,Necessary,American,2057/06/22,52.0,Architect,1000.0,19/12/79,Professional,Establishment,29.0,2.0,Cancer
395,9/12/09,Necessary,American,2061/06/20,48.0,Homemaker,10000.0,29/5/92,Secondary School,Employer,17.0,2.0,Gemini
396,9/12/10,Necessary,American,1977/12/14,32.0,Homemaker,2600.0,12/11/98,High School,Employer,12.0,1.0,Sagittarius
397,9/12/13,Necessary,American,1982/10/08,31.0,Homemaker,2500.0,30/8/01,Professional,Employer,12.0,1.0,Libra
398,10/2/09,Voluntary,American,2063/04/17,45.0,Homemaker,5500.0,9/8/86,High School,Employer,3.0,2.0,Aries
399,10/2/12,Necessary,American,1982/09/09,29.0,Architect,4000.0,9/12/05,High School,Employer,5.0,1.0,Virgo
400,10/3/05,Necessary,American,2044/10/15,60.0,Professor,12000.0,21/12/67,Professional,Employer,33.0,4.0,Libra
401,10/3/05,Necessary,American,2070/12/18,34.0,Nurse,10000.0,24/9/94,Professional,Employer,10.0,1.0,Sagittarius
402,10/3/08,Necessary,American,2063/10/31,44.0,Homemaker,2000.0,23/12/87,High School,Employer,16.0,2.0,Scorpio
403,10/3/10,Voluntary,American,2071/12/11,38.0,Chemist,11000.0,24/5/90,Professional,Employer,19.0,2.0,Sagittarius
404,10/3/10,Necessary,American,2055/11/06,54.0,Homemaker,6000.0,28/2/79,Professional,Employer,24.0,3.0,Scorpio
405,10/3/10,Necessary,American,2061/09/17,48.0,Secretary,10000.0,20/8/81,Professional,Employer,25.0,2.0,Virgo
406,10/3/11,Necessary,American,2064/07/30,46.0,Homemaker,12000.0,18/2/05,Professional,Employer,6.0,1.0,Leo
407,10/3/14,Necessary,American,2071/06/02,43.0,Homemaker,7000.0,4/3/93,Professional,Employer,21.0,2.0,Gemini
408,10/4/02,Voluntary,American,2060/07/22,41.0,Homemaker,7000.0,11/9/93,Professional,Employer,8.0,2.0,Cancer
409,10/4/06,Necessary,American,1982/05/14,23.0,Modest,6000.0,1/9/01,Professional,Employer,4.0,1.0,Taurus
